Date,Price,Open,High,Low,Vol.,Change %
12/03/2017,411.15,405.8,413.75,395,43.05M,0.0307
11/26/2017,398.9,423,424.75,396.5,52.10M,-6.25%
11/19/2017,425.5,421,433,420.1,31.18M,0.0088
11/12/2017,421.8,423,427.5,407,41.20M,-0.18%
11/05/2017,422.55,445.75,468,420,107.00M,-5.62%
10/29/2017,447.7,428.25,449.35,427.3,37.58M,0.0414
10/22/2017,429.9,429.1,434.35,415.05,27.85M,0.0069
10/15/2017,426.95,426.3,438,424.25,20.47M,0.0051
10/08/2017,424.8,424,432.1,409.35,26.21M,-0.01%
10/01/2017,424.85,428,428,412.7,27.28M,0.0582
09/24/2017,401.5,413.65,415.3,397.4,29.13M,-2.50%
09/17/2017,411.8,411.85,427.7,403.2,59.08M,0.025
09/10/2017,401.75,380,406.75,374.2,42.36M,0.0712
09/03/2017,375.05,393,396.05,374.05,34.28M,-4.04%
08/27/2017,390.85,385.85,392.85,374.45,24.89M,0.0174
08/20/2017,384.15,382,385.95,371.3,18.94M,0.0099
08/13/2017,380.4,380,392.45,372.6,31.06M,0.0158
08/06/2017,374.5,438.6,439.8,358.5,67.26M,-14.03%
07/30/2017,435.6,446.25,452.35,429.6,22.23M,-2.30%
07/23/2017,445.85,464.95,468.35,440.3,31.57M,-4.04%
07/16/2017,464.6,455,465.9,452.6,17.14M,0.0295
07/09/2017,451.3,460,464.5,442.55,27.67M,0.0331
07/02/2017,436.85,431.5,441.45,426,25.65M,0.0099
06/25/2017,432.55,443.8,446.8,428.05,26.74M,-2.39%
06/18/2017,443.15,453.8,470.75,442.4,33.08M,-2.76%
06/11/2017,455.75,463.75,465.25,446.95,22.45M,-2.43%
06/04/2017,467.1,478.3,484.35,453.5,24.40M,-2.43%
05/28/2017,478.75,482.5,487,471.8,20.07M,-0.49%
05/21/2017,481.1,446,488.25,442.6,66.65M,0.0851
05/14/2017,443.35,434,452.5,430.1,22.46M,0.029
05/07/2017,430.85,424.75,434.5,417.25,23.54M,0.0268
04/30/2017,419.6,456.6,457.2,418,26.92M,-8.56%
04/23/2017,458.9,439.8,462,438.75,36.26M,0.0415
04/16/2017,440.6,452,455.75,437.6,24.08M,-2.81%
04/09/2017,453.35,471.65,478.35,451.2,22.25M,-3.19%
04/02/2017,468.3,468.25,480.55,466.65,23.03M,0.0053
03/26/2017,465.85,469,475,462.1,29.96M,-0.97%
03/19/2017,470.4,476.55,478.2,458.5,25.21M,-1.28%
03/12/2017,476.5,481,484.2,468.45,23.76M,0.0158
03/05/2017,469.1,462.5,475.9,461.15,26.11M,0.0199
02/26/2017,459.95,464,467.9,448,40.35M,-0.52%
02/19/2017,462.35,451.5,466.7,449,29.55M,0.0208
02/12/2017,452.95,512.7,512.7,434.35,79.93M,-11.11%
02/05/2017,509.55,527.9,531.45,502,26.44M,-2.50%
01/29/2017,522.6,542,544.5,518,26.86M,-3.57%
01/22/2017,541.95,523.2,552,523,18.39M,0.0358
01/15/2017,523.2,518.65,535.6,517,27.08M,0.0162
01/08/2017,514.85,499.4,524,492.15,27.38M,0.0344
01/01/2017,497.75,472,507.95,469.05,27.48M,0.0546
12/25/2016,472,465.5,475,455.6,18.59M,0.0136
12/18/2016,465.65,470.9,478.55,460,22.02M,-1.59%
12/11/2016,473.15,461.95,486.25,451.05,90.93M,0.0195
12/04/2016,464.1,436,468.55,428.3,31.85M,0.0721
11/27/2016,432.9,451.25,466.3,431.15,40.13M,-4.30%
11/20/2016,452.35,468,475.3,443.15,36.17M,-4.01%
11/13/2016,471.25,484.9,484.9,450,42.41M,-7.11%
11/06/2016,507.3,513,549.35,500,43.25M,-0.98%
10/30/2016,512.3,534.4,537.9,501.6,26.07M,-4.60%
10/23/2016,537,544,564,510.75,41.65M,-1.38%
10/16/2016,544.5,557.85,557.85,541.5,17.26M,-2.09%
10/09/2016,556.1,571.1,571.1,537,19.06M,-1.70%
10/02/2016,565.7,539.4,567.3,539,29.55M,0.0577
09/25/2016,534.85,549.95,549.95,516.65,33.35M,-3.29%
09/18/2016,553.05,553.8,562.95,544,30.63M,0.0079
09/11/2016,548.7,551,568.2,544.1,35.61M,-4.28%
09/04/2016,573.25,556.35,598.4,556.35,46.84M,0.0426
08/28/2016,549.85,522.5,555.9,515.4,52.54M,0.0915
08/21/2016,503.75,509.1,515.35,486,40.00M,-1.23%
08/14/2016,510,512.95,517.9,503.3,21.45M,-1.32%
08/07/2016,516.8,518.2,522.6,495.1,28.32M,0.0008
07/31/2016,516.4,506.8,518.7,475.5,33.79M,0.0262
07/24/2016,503.2,505.5,513.35,498.75,26.10M,-0.79%
07/17/2016,507.2,495,508.45,489.7,30.07M,0.0267
07/10/2016,494,472.1,501.7,472.1,37.97M,0.0594
07/03/2016,466.3,467,474.85,454.1,29.19M,0.0183
06/26/2016,457.9,451.8,464.75,433,49.17M,0.0189
06/19/2016,449.4,464.75,489.9,421.25,76.46M,-3.23%
06/12/2016,464.4,451,465.75,436.7,39.92M,0.0163
06/05/2016,456.95,457.8,470.25,450.2,47.96M,0.0066
05/29/2016,453.95,404.8,464.9,401.3,162.25M,0.1239
05/22/2016,403.9,388.55,405,380.1,45.12M,0.0506
05/15/2016,384.45,393.8,396.7,381.6,43.79M,-1.41%
05/08/2016,389.95,400.35,405.2,376.1,50.00M,-2.19%
05/01/2016,398.7,407.95,422,380.1,45.42M,-2.36%
04/24/2016,408.35,417.6,425.25,403.05,30.30M,-2.07%
04/17/2016,417,407.65,420.5,400.65,28.37M,0.0202
04/10/2016,408.75,373.95,411.75,373.9,26.90M,0.1004
04/03/2016,371.45,385.95,391,369,32.98M,-2.16%
03/27/2016,379.65,375.5,393.6,361.5,44.15M,0.007
03/20/2016,377,367.25,381.5,365.75,24.00M,0.0299
03/13/2016,366.05,359.9,370.7,353.3,43.93M,0.0333
03/06/2016,354.25,346.5,355.9,336,29.36M,0.0313
02/28/2016,343.5,303.2,348.75,290.25,57.51M,0.1382
02/21/2016,301.8,320,324.75,296.2,50.11M,-5.15%
02/14/2016,318.2,297.9,324.2,297.7,66.41M,0.0665
02/07/2016,298.35,334.95,334.95,265.8,84.40M,-11.50%
01/31/2016,337.1,338.75,344.7,317.05,37.75M,0.0006
01/24/2016,336.9,345.5,345.5,324.2,37.94M,-0.77%
01/17/2016,339.5,341,357.2,323,48.87M,-0.53%
01/10/2016,341.3,343.9,369.8,339.35,50.36M,-3.41%
01/03/2016,353.35,400,400.1,338.1,42.49M,-12.08%
12/27/2015,401.9,384.9,403,373,30.18M,0.051
12/20/2015,382.4,379.1,384.75,377.2,16.34M,0.011
12/13/2015,378.25,369.75,387,360.5,46.33M,0.0008
12/06/2015,377.95,402.9,406.95,375.3,37.33M,-5.50%
11/29/2015,399.95,419.9,429.6,398.7,37.32M,-4.24%
11/22/2015,417.65,400.35,431.9,396.5,35.07M,0.0367
11/15/2015,402.85,401,413.5,394.2,31.76M,-0.27%
11/08/2015,403.95,374,417.5,373.05,46.95M,0.0197
11/01/2015,396.15,386.1,412.8,380.8,51.31M,0.0291
10/25/2015,384.95,386.45,396.8,382.2,39.54M,0.0051
10/18/2015,383,384,395.75,376.25,38.35M,-0.83%
10/11/2015,386.2,356.5,390.95,351.1,63.47M,0.0835
10/04/2015,356.45,302.5,359.2,302.5,74.86M,0.1971
09/27/2015,297.75,304.4,304.4,279.1,46.31M,-1.86%
09/20/2015,303.4,326.85,334.9,301.6,35.05M,-8.13%
09/13/2015,330.25,348.9,350.9,326.85,31.89M,-4.16%
